"id","chart_template_id/id","code_prefix_start","code_prefix_end","name"
"kp_rrif_acc_group_104","l10n_hr_coa_rrif_2015_template","1041","1049","104 - Otvoreni akreditiv u stranim valutama"
"kp_rrif_acc_group_105","l10n_hr_coa_rrif_2015_template","1051","1059","105 - Devizna blagajna"
"kp_rrif_acc_group_106","l10n_hr_coa_rrif_2015_template","1061","1069","106 - Novac za kupnju deviza"
"kp_rrif_acc_group_108","l10n_hr_coa_rrif_2015_template","1081","1089","108 - Ostala novčana sredstva"
"kp_rrif_acc_group_109","l10n_hr_coa_rrif_2015_template","1091","1099","109 - Vrijednosno usklađenje depozita u bankama"
"kp_rrif_acc_group_11","l10n_hr_coa_rrif_2015_template","111","119","11 - KRATKOTRAJNA FINANCIJSKA IMOVINA (do jedne godine)"
"kp_rrif_acc_group_110","l10n_hr_coa_rrif_2015_template","1101","1109","110 - Udjeli (dionice) u povezanim poduzetnicima"
"kp_rrif_acc_group_111","l10n_hr_coa_rrif_2015_template","1111","1119","111 - Dani zajmovi povezanim poduzetnicima"
"kp_rrif_acc_group_112","l10n_hr_coa_rrif_2015_template","1121","1129","112 - Sudjelujući interesi (udjeli)"
"kp_rrif_acc_group_113","l10n_hr_coa_rrif_2015_template","1131","1139","113 - Zajmovi dani poduzetnicima u kojima postoje sudjelujući interesi (do 20% udjela)"
"kp_rrif_acc_group_114","l10n_hr_coa_rrif_2015_template","1141","1149","114 - Ulaganja u vrijednosne papire"
"kp_rrif_acc_group_1141","l10n_hr_coa_rrif_2015_template","11411","11419","1141 - Mjenice"
"kp_rrif_acc_group_115","l10n_hr_coa_rrif_2015_template","1151","1159","115 - Dani zajmovi, depoziti i sl."
"kp_rrif_acc_group_1150","l10n_hr_coa_rrif_2015_template","11501","11509","1150 - Dani kratkotrajni zajmovi"
"kp_rrif_acc_group_1151","l10n_hr_coa_rrif_2015_template","11511","11519","1151 - Depoziti (do jedne godine)"
"kp_rrif_acc_group_1152","l10n_hr_coa_rrif_2015_template","11521","11529","1152 - Kaucije i jamčevine (do jedne godine)"
"kp_rrif_acc_group_116","l10n_hr_coa_rrif_2015_template","1161","1169","116 - Potraživanja iz ulaganja u investicijske fondove"
"kp_rrif_acc_group_117","l10n_hr_coa_rrif_2015_template","1171","1179","117 - Ostala financijska imovina"
"kp_rrif_acc_group_118","l10n_hr_coa_rrif_2015_template","1181","1189","118 - Potraživanja u sporu (npr. utužena, u stečaju i sl. iz fin. imovine)"
"kp_rrif_acc_group_119","l10n_hr_coa_rrif_2015_template","1191","1199","119 - Vrijednosno usklađivanje financijske imovine - kratkotrajne (analitika po otpisima iz ove skupine računa)"
"kp_rrif_acc_group_12","l10n_hr_coa_rrif_2015_template","121","129","12 - POTRAŽIVANJA (KRATKOTRAJNA)"
"kp_rrif_acc_group_120","l10n_hr_coa_rrif_2015_template","1201","1209","120 - Potraživanja od kupaca"
"kp_rrif_acc_group_121","l10n_hr_coa_rrif_2015_template","1211","1219","121 - Kupci iz EU i inozemstva"
"kp_rrif_acc_group_122","l10n_hr_coa_rrif_2015_template","1221","1229","122 - Potraživanja od povezanih poduzetnika (s više od 20% udjela - ovisni poduzet.)"
"kp_rrif_acc_group_123","l10n_hr_coa_rrif_2015_template","1231","1239","123 - Potraživanja od sudjelujućih poduzetnika (u kojima se drži manje od 20% udjela)"
"kp_rrif_acc_group_124","l10n_hr_coa_rrif_2015_template","1241","1249","124 - Potraživanja za kamate"
"kp_rrif_acc_group_125","l10n_hr_coa_rrif_2015_template","1251","1259","125 - Potraživanja za predujmove za usluge (koje nisu u svezi sa zalihama i dugotr. imov.)"
"kp_rrif_acc_group_126","l10n_hr_coa_rrif_2015_template","1261","1269","126 - Potraživanja iz vanjskotrgovačkog poslovanja (s osnove uvoza odnosno izvoza za tuđi račun)"
"kp_rrif_acc_group_127","l10n_hr_coa_rrif_2015_template","1271","1279","127 - Potraživanja s osnove ostalih aktivnosti"
"kp_rrif_acc_group_128","l10n_hr_coa_rrif_2015_template","1281","1289","128 - Ostala kratkoročna potraživanja"
"kp_rrif_acc_group_129","l10n_hr_coa_rrif_2015_template","1291","1299","129 - Vrijednosno usklađenje potraživanja"
"kp_rrif_acc_group_13","l10n_hr_coa_rrif_2015_template","131","139","13 - POTRAŽIVANJA OD ZAPOSLENIH I OSTALA POTRAŽIVANJA (kratkotrajna)"
"kp_rrif_acc_group_130","l10n_hr_coa_rrif_2015_template","1301","1309","130 - Potraživanja od zaposlenih"
"kp_rrif_acc_group_131","l10n_hr_coa_rrif_2015_template","1311","1319","131 - Potraživanja od vanjskih suradnika"
"kp_rrif_acc_group_133","l10n_hr_coa_rrif_2015_template","1331","1339","133 - Potraživanja od članova poduzetnika"
"kp_rrif_acc_group_134","l10n_hr_coa_rrif_2015_template","1341","1349","134 - Potraživanja u sporu i rizična potraživanja (iz skupine 12 i 13)"
"kp_rrif_acc_group_135","l10n_hr_coa_rrif_2015_template","1351","1359","135 - Potraživanja za sredstva u slobodnoj zoni"
